Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,159.639999,162.169998,157.809998,159.759995,159.002121,327400
2016-01-04,155.110001,156.240005,153.259995,155.990005,155.250046,611000
2016-01-05,157.190002,158.21000700000002,153.070007,154.729996,153.996002,442800
2016-01-06,151.53999299999998,151.53999299999998,147.0,147.929993,147.22825600000002,712600
2016-01-07,143.929993,144.070007,138.240005,139.0,138.340622,1135800
2016-01-08,140.529999,140.929993,134.03999299999998,134.229996,133.593246,1449800
2016-01-11,135.570007,136.929993,132.240005,135.83999599999999,135.195602,933700
2016-01-12,136.940002,137.41000400000001,134.300003,136.369995,135.723099,640600
2016-01-13,137.059998,138.0,130.0,131.16000400000001,130.537811,864300
2016-01-14,131.990005,133.66000400000001,128.380005,131.820007,131.19468700000002,718000
2016-01-15,128.220001,129.729996,124.410004,128.199997,127.59185,951700
2016-01-19,129.919998,131.869995,126.699997,128.610001,127.999901,864400
2016-01-20,125.489998,128.0,120.68,126.57,125.969597,991800
2016-01-21,127.18,131.330002,126.0,127.440002,126.83546399999999,460200
2016-01-22,131.070007,134.979996,130.350006,134.529999,133.89181499999998,788200
2016-01-25,134.169998,134.889999,127.559998,128.179993,127.571945,728000
2016-01-26,126.879997,132.229996,126.860001,131.399994,130.776657,701400
2016-01-27,131.169998,134.71000700000002,130.110001,131.100006,130.47808799999999,715500
2016-01-28,132.639999,133.389999,128.259995,128.779999,128.169098,472300
2016-01-29,130.259995,134.33999599999999,129.979996,134.190002,133.553436,616700
2016-02-01,132.830002,133.21000700000002,129.53999299999998,132.199997,131.572876,602000
2016-02-02,125.989998,127.699997,121.720001,122.599998,122.018417,960400
2016-02-03,123.510002,123.510002,117.290001,122.400002,121.81936599999999,792600
2016-02-04,123.33000200000001,130.649994,122.150002,128.66000400000001,128.049667,639700
2016-02-05,128.550003,129.96000700000002,124.160004,124.75,124.15821799999999,634800
2016-02-08,121.58000200000001,121.980003,117.120003,120.360001,119.789047,779900
2016-02-09,117.690002,120.760002,117.099998,119.940002,119.37104,743000
2016-02-10,120.690002,123.650002,120.260002,120.989998,120.416054,533900
2016-02-11,116.459999,120.07,115.970001,117.800003,117.241188,763900
2016-02-12,120.470001,125.199997,119.120003,124.41999799999999,123.82978100000001,530000
2016-02-16,126.83000200000001,127.91999799999999,125.360001,126.620003,126.019348,628400
2016-02-17,128.83999599999999,132.389999,128.83999599999999,130.600006,129.98048400000002,454700
2016-02-18,130.759995,130.990005,127.589996,129.199997,128.587097,658400
2016-02-19,128.03999299999998,129.630005,125.870003,129.53999299999998,128.925476,666500
2016-02-22,132.080002,135.270004,132.080002,134.990005,134.349655,571100
2016-02-23,134.429993,134.770004,129.0,129.169998,128.557251,636000
2016-02-24,126.559998,129.490005,124.639999,128.929993,128.31839,870200
2016-02-25,129.28999299999998,130.360001,126.41999799999999,130.300003,129.6819,476000
2016-02-26,133.059998,137.300003,132.179993,136.929993,136.280441,738500
2016-02-29,137.380005,139.96000700000002,137.009995,138.690002,138.03208899999998,1337500
2016-03-01,140.479996,145.149994,139.759995,144.179993,143.496048,956800
2016-03-02,144.050003,145.279999,142.28999299999998,145.190002,144.501266,753200
2016-03-03,144.860001,150.179993,144.139999,150.009995,149.298401,641800
2016-03-04,151.130005,154.350006,149.279999,153.220001,152.49316399999998,816000
2016-03-07,151.16000400000001,152.33999599999999,149.880005,151.580002,150.860947,383200
2016-03-08,149.899994,150.800003,147.169998,147.330002,146.63111899999998,411400
2016-03-09,149.16000400000001,149.16000400000001,145.729996,148.270004,147.566666,340800
2016-03-10,149.869995,150.03999299999998,143.240005,145.899994,145.207886,591700
2016-03-11,149.970001,154.110001,147.75,153.66000400000001,152.931107,724300
2016-03-14,152.199997,152.559998,148.5,151.619995,150.90074199999998,499700
2016-03-15,149.729996,150.440002,146.300003,148.25,147.546722,498400
2016-03-16,146.91000400000001,153.419998,146.91000400000001,152.919998,152.194595,658600
2016-03-17,152.740005,161.559998,152.740005,159.940002,159.18129,809900
2016-03-18,160.809998,163.929993,158.509995,160.0,159.24101299999998,1000700
2016-03-21,161.0,163.070007,158.279999,162.380005,161.60974099999999,693500
2016-03-22,160.199997,161.899994,158.759995,161.490005,160.72393799999998,422800
2016-03-23,161.369995,161.369995,158.83999599999999,158.979996,158.225845,496400
2016-03-24,156.66000400000001,157.550003,154.600006,157.429993,156.68318200000002,396200
2016-03-28,158.029999,158.029999,155.470001,156.529999,155.787476,297300
2016-03-29,155.360001,160.740005,154.440002,160.330002,159.569443,590200
2016-03-30,161.490005,165.100006,160.970001,163.050003,162.27655,694400
2016-03-31,162.309998,163.899994,161.78999299999998,162.399994,161.62960800000002,390700
2016-04-01,160.949997,164.110001,160.100006,163.889999,163.112549,395900
2016-04-04,164.16000400000001,164.169998,160.08999599999999,160.619995,159.858063,426200
2016-04-05,158.880005,160.690002,157.16000400000001,159.240005,158.48461899999998,682200
2016-04-06,159.600006,161.649994,158.720001,160.699997,159.937668,471200
2016-04-07,158.669998,159.75,154.71000700000002,156.0,155.25997900000002,412600
2016-04-08,158.190002,158.360001,156.16000400000001,157.279999,156.53392,487700
2016-04-11,159.110001,161.990005,158.259995,159.139999,158.385086,423200
2016-04-12,159.889999,164.71000700000002,158.520004,164.149994,163.37129199999998,444200
2016-04-13,166.199997,170.71000700000002,165.330002,170.490005,169.681244,506000
2016-04-14,170.559998,173.720001,169.91000400000001,171.820007,171.004929,538500
2016-04-15,171.600006,171.71000700000002,169.21000700000002,169.990005,169.183624,439800
2016-04-18,168.449997,170.880005,168.41000400000001,170.25,169.442383,629800
2016-04-19,171.179993,172.96000700000002,170.580002,172.679993,171.86084,771500
2016-04-20,173.889999,175.669998,171.770004,175.179993,174.348984,508400
